,Codigo_Municipio,Codigo_Municipio Latitude,Codigo_Municipio Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
62,25572,5.462999999999999,-74.6544,Puerto de La Dorada,5.45503100808906,-74.65521617476014,Beer Garden
63,25019,4.8766,-74.4377,Parque Principal Alban,4.876678,-74.43718,Park
64,25019,4.8766,-74.4377,Nuevo Jalisco,4.881801128387451,-74.43977355957031,Restaurant
65,25489,5.1261,-74.3849,Laguna Liverpool,5.121443,-74.382947,Lake
66,25489,5.1261,-74.3849,Finca El Cairo,5.119012594316168,-74.38069106174041,Campground
67,25489,5.1261,-74.3849,Camping El Cairo Nimaima Reserva Natural,5.118974,-74.380499,Campground
68,25658,4.9737,-74.2901,Parque Central San Francisco,4.975133967276428,-74.28926618025423,Park
69,25658,4.9737,-74.2901,"El Quijote, San Francisco, cundinamarca",4.974459,-74.288154,Spanish Restaurant
70,25658,4.9737,-74.2901,Medieval,4.973878368821657,-74.28755428112753,Pizza Place
71,25658,4.9737,-74.2901,pizzería medieval café,4.978037357330322,-74.2900619506836,Fast Food Restaurant
72,25658,4.9737,-74.2901,Finca Las Camelias,4.977601,-74.287325,Rest Area
73,25658,4.9737,-74.2901,El jardín encantado,4.978664,-74.293724,Farm
74,25658,4.9737,-74.2901,San Francisco de Sales,4.966193059229898,-74.2898003478462,Farm
75,25718,4.9638,-74.4348,Sasaima,4.963957227671705,-74.43377094801224,Park
76,25718,4.9638,-74.4348,Parque principal Sasaima,4.96384852114497,-74.434413820911,Park
77,25718,4.9638,-74.4348,Pizería Verace,4.963399,-74.434282,Pizza Place
78,25718,4.9638,-74.4348,"Centro de Investigación y Capacitación ""La Isla""",4.967339752252585,-74.43726896823713,Resort
79,25777,5.061,-74.2372,Finca tierra de Canaan,5.059028417910074,-74.22968560776701,Farm
80,25851,5.1873,-74.48100000000001,Plaza Central Útica,5.188812042173328,-74.47969770141826,Plaza
81,25851,5.1873,-74.48100000000001,ÚticaXtrema,5.188055816200534,-74.48151111602782,Rafting
82,25851,5.1873,-74.48100000000001,Dosis Verde,5.186628568303381,-74.48302882875691,Campground
83,25851,5.1873,-74.48100000000001,Hotel Abacoa,5.189223289489746,-74.47955322265625,Hotel Pool
84,25851,5.1873,-74.48100000000001,El Escape,5.192748271109034,-74.48313185230695,Campground
85,25851,5.1873,-74.48100000000001,Cerro Alto De La Cruz,5.188996085197182,-74.47344303131104,Mountain
86,25862,5.1184,-74.3455,donde rosita,5.118439,-74.345297,Restaurant
87,25875,5.0089,-74.4723,Villeta,5.008351349558453,-74.47304098123706,Rest Area
88,25875,5.0089,-74.4723,Parque Principal Villeta,5.011197734311612,-74.47040798714515,Plaza
89,25875,5.0089,-74.4723,La Terraza,5.010821081817922,-74.47044233079987,Restaurant
90,25875,5.0089,-74.4723,Villeta Resort Hotel,5.00878660436588,-74.46531887034502,Resort
91,25875,5.0089,-74.4723,Cune Club,5.011747492370517,-74.46560252076685,Spa
92,25875,5.0089,-74.4723,Hotel Mediterraneo Villeta,5.0110987656664285,-74.47318082518912,Hotel
93,25875,5.0089,-74.4723,Plaza de Mercado,5.009447194494641,-74.47152987640013,Farmers Market
94,25875,5.0089,-74.4723,Hotel Casablanca Boutique,5.007867172560123,-74.47606887573845,Hotel
95,25293,4.6924,-73.5204,Parque Principal De Gachalá,4.693944,-73.51994,Park
96,25293,4.6924,-73.5204,Hotel Paraíso,4.6915853596216115,-73.51913537447653,Hotel
97,25293,4.6924,-73.5204,Frutería Y Comidas Rápidas Doña Flor,4.6946077,-73.5197,Fast Food Restaurant
98,25293,4.6924,-73.5204,Embalse el Guavio,4.695983623878056,-73.51582195438726,Lake
99,25297,4.8185,-73.6366,Parque Gachetá,4.817459973089627,-73.63596881522936,Park
100,25297,4.8185,-73.6366,Charcuteria SUIZO,4.8167527519014355,-73.63687143551054,Restaurant
101,25322,4.8660000000000005,-73.8775,Guasca,4.866795573338211,-73.87754320534589,Hot Spring
102,25322,4.8660000000000005,-73.8775,Parque Central Guasca,4.866759217987749,-73.87784788297793,Plaza
103,25322,4.8660000000000005,-73.8775,La Especial,4.867064791275534,-73.87533242044879,Bakery
104,25322,4.8660000000000005,-73.8775,via Guasca-Guatavita,4.867300148894263,-73.88604731675568,Scenic Lookout
105,25326,4.9366,-73.8331,Plaza Central de Guatavita,4.935015268824302,-73.83497691951929,Plaza
106,25326,4.9366,-73.8331,El Machete,4.935985,-73.835401,Coffee Shop
107,25326,4.9366,-73.8331,Plaza de las Comidas Típicas - Guatavita,4.934188,-73.835501,Cajun / Creole Restaurant
108,25326,4.9366,-73.8331,Plaza de la Fuente,4.935688376426697,-73.83502900600433,Plaza
109,25326,4.9366,-73.8331,Museo Guatavita,4.935754306554097,-73.83514922469475,History Museum
110,25326,4.9366,-73.8331,Hostería Guatavita,4.9349963665008545,-73.83523285388947,Latin American Restaurant
111,25326,4.9366,-73.8331,Guatavita Gourmet Café,4.934991,-73.835532,Beer Garden
112,25326,4.9366,-73.8331,Embalse de Guatavita,4.936833113193638,-73.84009111611766,Lake
